Coin_ID,Notes,Material,Place,Year_found,Year_created,Condition
1,Classic owl type,Silver,Athens,1892,450 BC,Very good
2,Winged horse motif,Silver,Corinth,1931,400 BC,Good
3,Hellenistic period,Silver,Turkey,1877,330 BC,Excellent
4,Portrait of Philip II,Gold,Macedonia,1954,340 BC,Very good
5,Heavy corrosion,Bronze,Syracusse,1962,300 BC,Fair
6,Greek god Helios,Silver,Rhodes,1988,250 BC,Very good
7,Bee symbol,Silver,Ephesus,1904,280 BC,Good
8,Early Achaic period,Silver,Aegina,1856,480 BC,Good
9,Fragmentary,Bronze,Sparta,1973,200 BC,Poor
10,Portrait of Ptolemy VI,Silver,Egypt,1911,150 BC,Good
11,Republican era,Silver,Rome,1889,90 BC,Very good
12,Julius Caesar period,Silver,Rome,1863,44 BC,Very good
13,Augustus period,Gold,Rome,1921,14 AD,Very good
14,Large bronze coin,Bronze,Rome,1957,117 AD,Good
15,Marcus Aurelius period ,Silver,Rome,1899,180 AD,Very good
16,Debased silver,Silver,Rome,1935,250 AD,Fair
17,Christian symbols,Bronze,Constantinopol,1968,310 AD,Good
18,Domitian period,Silver,Rome,1872,96 AD,Good
19,Worn portrait of Antonius Pius,Bronze,Rome,1991,140 AD,Fair
20,Portrait of Vitelius,Gold,Rome,1908,69 AD,Very good
21,Seleucid I period,Silver,Iraq,1929,200 BC,Good
22,Minotaurus imagery,Silver,Knossos,1881,350 BC,Fair
23,Thracian region,Silver,Bulgaria,1975,400 BC,Very good
24,Bronze coin,Bronze,Pergamon,1983,150 BC,Good
25,Hellenistic period,Silver,Syria,1917,100 BC,Good
26,Nero period,Silver,Rome,1866,54 AD,Good
27,Trajan period,Gold,Rome,1944,98 AD,Excellent
28,Military theme,Bronze,Rome,1980,161 AD,Fair
29,Tetrarchy period,Silver,Turkey,2001,320 AD,Good
30,Pre-Constantinople period,Silver,Byzantium,1890,350 BC,Good
31,Greek god Hera,Silver,Argos,1965,300 BC,Very good
32,Ionian period,Bronze,Turkey,1999,250 BC,Good
33,King Croesus period,Gold,Turkey,1820,600 BC,Excellent
34,Tetradrahm type of coin,Silver,Chios,1938,400 BC,Very good
35,Vespasian period,Silver,Rome,1879,70 AD,Good
36,Hadrian period,Gold,Rome,1960,117 AD,Good
37,Hadrian period,Bronze,Rome,1915,138 AD,Fair
