Token_ID,Token,POS,Number,Case,Gender,Person,Tense,Voice,Mood,Lemma
Sen_1,Gallia,NOUN,Sg.,Nom.,f,NaN,NaN,NaN,NaN,Gallia
Sen_1,est,VERB,Sg.,NaN,NaN,3,Praes.,act.,ind.,sum
Sen_1,omnis,ADJ,Sg.,Nom.,f,NaN,NaN,NaN,NaN,omnis
Sen_1,divisa,PART,Sg.,Nom.,f,NaN,Praes.,pass.,NaN,divido
Sen_1,in,PREP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,in
Sen_1,partes,NOUN,Pl.,Acc.,f,NaN,NaN,NaN,NaN,pars
Sen_1,tres,NUM,Pl.,Acc.,f,NaN,NaN,NaN,NaN,tres
Sen_1,",",PUNCT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,","
Sen_1,quarum,PRON,Sg.,Gen.,f,NaN,NaN,NaN,NaN,qui
Sen_1,unam,NUM,Sg.,Acc.,f,NaN,NaN,NaN,NaN,unus
Sen_1,incolunt,VERB,Sg.,NaN,NaN,3,Praes.,act.,ind.,incolo
Sen_1,Belgae,NOUN,Pl.,Nom.,m,NaN,NaN,NaN,NaN,Belgae
Sen_1,",",PUNCT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,","
Sen_1,aliam,PRON,Sg.,Acc.,f,NaN,NaN,NaN,NaN,alius
Sen_1,Aquitani,NOUN,Pl.,Nom.,m,NaN,NaN,NaN,NaN,Aquitani
Sen_1,",",PUNCT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,","
Sen_1,terciam,NUM,Sg.,Acc.,f,NaN,NaN,NaN,NaN,tercius
Sen_1,qui,PRON,Sg.,Nom.,m,NaN,NaN,NaN,NaN,qui
Sen_1,ipsorum,PRON,Sg.,Gen.,m,NaN,NaN,NaN,NaN,ipse
Sen_1,lingua,NOUN,Sg.,Abl.,f,NaN,NaN,NaN,NaN,lingua
Sen_1,Celtae,NOUN,Pl.,Nom.,m,NaN,NaN,NaN,NaN,Celtae
Sen_1,",",PUNCT,NaN,NaN,m,NaN,NaN,NaN,NaN,","
Sen_1,nostra,PRON,Pl.,Abl.,f,NaN,NaN,NaN,NaN,noster
Sen_1,Galli,NOUN,Pl.,Nom.,m,NaN,NaN,NaN,NaN,Galli
Sen_1,appellantur,VERB,Pl.,NaN,NaN,3,Praes.,pass.,ind.,appello
Sen_1,.,PUNCT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,.
Sen_2,Hi,PRON,Pl.,Nom.,m,NaN,NaN,NaN,NaN,hic
Sen_2,omnes,PRON,Pl.,Nom.,m,NaN,NaN,NaN,NaN,omnis
Sen_2,lingua,NOUN,Sg.,Abl.,f,NaN,NaN,NaN,NaN,lingua
Sen_2,",",PUNCT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,","
Sen_2,institutis,NOUN,Sg.,Abl.,n,NaN,NaN,NaN,NaN,institutum
Sen_2,",",PUNCT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,","
Sen_2,legibus,NOUN,Pl.,Abl.,f,NaN,NaN,NaN,NaN,lex
Sen_2,inter,PREP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,inter
